Word,Frequency
amritraj,275
amusement,55
amusing,66
analysed,52
analysing,35
ancelotti,294
andravindra,1
andre,853
andrey,250
ange,35
angeles,1387
angkrish,259
angrily,31
angrkrish,2
ani,666
ankita,150
ankle,859
anmol,760
anmolpreet,84
annals,141
announced,3780
announcement,1144
announcing,470
anonymity,54
anrich,262
anshul,219
answer,692
answering,121
anthony,909
anticipate,253
anticipated,1500
anticipates,185
anticipation,370
antoine,53
antonio,400
anuj,185
anukul,113
anupama,405
anushka,149
anymore,340
ap,1621
apart,962
apiece,75
apna,33
apollo,36
apparent,207
appearance,4019
appeared,1617
appears,653
applause,177
applying,138
appointed,792
appreciate,277
approach,3151
approached,456
apr,1264
april,1047
aravelly,29
archer,549
architect,142
ardent,38
area,1752
arena,1581
arjun,762
arm,586
arnaldi,50
arora,336
arrival,658
arrive,123
arrived,787
arrowhead,225
arsenal,837
arshad,309
arshdeep,1390
arun,460
arya,159
arévalo,3
ascend,10
ascended,156
ashmita,333
ashutosh,328
ashwini,658
asia,2051
asian,3424
aside,349
ask,873
asked,3180
asking,663
asks,91
aspect,905
aspiration,564
assamese,5
asserted,328
asserting,192
assessment,377
asset,428
assist,842
assistance,453
association,3280
assumed,244
assumes,56
assured,517
assuring,30
aston,235
astonishing,314
atal,360
ate,18
athens,102
athlete,4099
athletic,544
atkinson,229
atletico,354
atmosphere,571
atop,291
atp,1919
attack,3011
attacking,1026
attempt,1774
attempted,642
attempting,429
attendance,323
attention,2088
attraction,124
attribute,139
attributed,373
auction,5312
aug,82
august,2078
augusta,432
aur,261
aurélien,3
australia,13401
australian,5022
authority,1039
available,1513
avanish,60
avenged,96
avenging,49
average,2594
averting,18
avesh,545
avg,33
avoid,672
awaited,173
award,2542
awarded,767
awarding,62
awareness,228
away,5191
awesome,188
axar,1378
ayush,483
azerbaijan,261
azmatullah,188
ba,54
baad,68
bac,72
bach,88
backed,357
backup,402
backward,163
bad,2491
badminton,9664
badoni,304
bag,517
bagan,965
baggage,39
bagged,371
bahadur,93
bai,1182
bail,157
bairstow,311
balance,1135
balanced,484
balancing,202
ball,16700
balyan,18
bandwagon,33
bangalore,205
bangar,82
bangkok,173
bangladeshi,94
bank,1370
banking,106
bansod,1141
bar,390
barboza,66
barca,94
barcelona,1328
barkley,376
barracuda,29
barreto,1
barring,132
barry,35
barsapara,99
baruah,266
base,1102
based,1047
bash,235
bat,5018
baton,55
batsman,3152
batter,6461
batting,8476
battle,2386
battled,297
bavarian,9
bayer,141
bayern,630
bbf,2
bearing,95
beat,2939
beaten,558
beating,1064
beautifully,202
beauty,226
bedroom,123
began,3148
begging,18
begin,2227
beginning,1509
begun,358
behalf,113
behavior,240
behaviour,178
behrendorff,40
beijing,354
belief,2594
believe,1591
believed,691
beloved,308
belt,770
ben,818
benefit,650
beneston,1
bengal,2337
bengaluru,4274
ber,14
bernabeu,108
berth,768
best,11392
better,5408
bewilderment,38
bhagath,11
bhaji,7
bhandage,145
bharat,692
bhatia,630
bhogle,37
bhosale,36
bhui,79
bhumij,1
bhupinder,2
bhuvneshwar,585
biaka,1
bias,88
bicep,19
bicycle,21
bid,1342
bidding,512
big,6966
bigger,889
biggest,2413
bigwig,2
bihari,305
biju,13
billie,246
billion,744
billionaire,205
bindra,152
bingjiao,106
birdie,1882
birthday,1230
bishnoi,510
biswas,15
bit,3633
bitter,202
black,953
blah,27
blanked,39
blas,58
bleed,31
blend,453
blood,1295
blow,806
blown,120
boast,733
boasting,258
boby,75
bodes,18
body,2446
boe,546
bogey,1354
bogeyed,174
boiled,53
bollywood,277
bolster,334
bolstered,328
booed,95
booing,114
book,856
boost,887
boot,341
bopanna,645
bore,111
borgohain,559
borussia,179
bother,133
bought,715
boult,488
bounce,1207
bounced,462
bouncer,138
bouncing,141
bound,270
boundary,2120
bout,1555
bowl,3957
bowled,2808
bowler,8357
bowling,6958
box,1118
boxer,2188
boxing,5455
boy,3042
brace,298
bracing,38
brain,178
brand,1796
brar,329
bravo,64
breach,361
break,4613
breakfast,86
breaking,1603
breakthrough,591
breathtaking,135
breezed,29
bremen,16
brevis,78
brian,499
brief,1074
briefly,418
brigade,86
bright,376
brilliance,623
brilliant,1049
brilliantly,232
bring,2193
bringing,1228
brings,874
brink,193
brisbane,1038
broke,1680
bronze,5071
brook,679
brought,2614
brunswick,24
brunt,55
bryson,126
buckle,31
build,1341
building,899
bulgaria,92
bullied,32
bumrah,5425
bunch,265
bunched,33
bundesliga,148
buoyed,72
burgeoning,31
burger,78
bus,319
busanan,185
business,1581
buts,5
buttler,821
buy,801
bwf,2234
bye,290
ca,2475
cadiz,26
caffeine,33
cagliari,40
cahaya,16
called,2094
calling,925
calm,782
camaraderie,335
camavinga,22
came,8786
cameo,237
cameron,623
camp,1719
campaign,3214
canada,1743
cancer,379
candidly,160
cap,1427
capable,590
capital,2297
capitalise,153
capitalised,173
capitalising,75
capitalize,591
capitalized,637
capitalizing,226
captain,11654
captaincy,1756
captained,411
caption,413
captivating,292
captured,575
capturing,307
card,1720
career,11375
careful,254
carefully,236
caribbean,579
carlo,443
carlos,1074
carnage,65
carry,984
carvajal,92
carve,31
case,2180
casper,364
casualty,60
catch,2552
catching,305
category,2380
cause,623
caused,709
celebrated,1663
celebrating,637
cemented,302
cementing,294
central,601
centre,1781
century,3991
ceremonial,36
certain,1071
certainly,888
chahal,1051
chahar,696
chakaravarthy,128
chaliha,452
challenge,6706
challenger,2774
challenging,3118
chameera,143
champion,18616
championship,11612
chan,114
chance,6734
chandigarh,664
change,4694
changed,1208
changeover,91
changsha,14
chaos,272
chapter,760
characteristic,106
characterized,114
charge,1376
charles23,11
charter,105
chase,2040
chasing,852
chat,607
chawla,264
check,393
cheekily,59
cheer,603
cheerfulness,1
chelsea,944
chen,686
chengdu,431
chennai,3426
chepauk,329
chernyshov,26
chetan,141
cheteshwar,140
chhetri,668
chhikara,14
chia,87
chidambaram,711
chief,6110
chiew,68
chiharu,190
child,1681
childhood,387
china,4801
chinaman,44
chinaswammy,3
chinese,3087
chinnaswamy,431
chip,265
chipped,221
chirag,2074
choice,1274
choke,25
choose,415
chose,852
chou,127
choudhary,838
chris,1166
christian,526
christie,78
christopher,105
chuahan,12
ci,81
cinema,66
circle,684
circuit,717
circulated,73
circus,58
citing,590
citizen,73
city,6679
claim,1983
claimed,2449
claiming,1227
clash,3308
clashed,155
clasico,95
classic,459
claudio,17
clawed,72
clawing,51
clay,1144
clean,520
clear,2823
clearly,736
clever,101
clifford,20
climax,132
clinch,1243
clinched,1648
clinching,1000
clinical,367
clip,553
clock,230
close,4490
closed,433
closely,1080
closer,810
closing,598
cloud,181
clown,55
club,5626
coach,17832
coached,367
coaching,2735
coast,171
cobb,3
cobolli,126
code,383
coetzee,301
coinciding,46
cold,619
collaboration,450
collided,49
collin,105
collision,125
cologne,107
coman,14
combination,1246
combine,160
combined,670
come,10390
comeback,3588
comfortable,1062
comfortably,539
comical,34
coming,3846
commanding,1255
commence,844
commenced,330
commences,91
commendable,403
comment,2568
commentary,543
commentator,562
commented,596
commitment,1754
committee,1874
committing,165
common,311
commonwealth,1013
communication,381
company,2374
compared,924
compass,8
compatriot,466
compete,2231
competing,1585
competition,4703
competitive,2189
competitiveness,117
competitor,943
complete,1444
completed,1031
completes,56
composed,456
composure,890
compounded,81
comprehensive,508
comprises,109
comprising,287
computerized,12
conceding,562
concentrating,112
concern,2713
concludes,86
conclusion,754
condition,4076
conditioning,199
conducive,88
conduct,670
conference,1716
confidence,2979
confident,1289
confidently,215
confirmed,2000
confronts,48
congratulated,222
congratulation,447
connect,200
connection,777
consecutive,3298
consequently,71
consider,621
considered,1313
considering,964
considers,178
consistency,1155
consistent,1365
consistently,1195
consolidate,66
constituency,25
consultation,145
consummate,6
contend,48
contender,1178
content,504
contention,600
contest,1617
contested,696
contesting,35
continental,190
contingent,1081
continue,3637
continued,2784
continues,2274
contrast,620
contrasting,205
contribute,524
contributed,1440
contributing,749
contribution,1857
control,2623
controversial,839
controversy,1294
conversion,200
convert,539
converted,631
converting,237
convinced,195
convincing,403
conway,346
core,877
corner,2349
cornerstone,182
corporate,100
cost,816
costliest,79
count,661
countered,192
country,5206
couple,4351
courageous,81
course,2954
court,5606
courted,39
courtesy,270
cover,815
coveted,482
cr,1771
crack,199
craft,139
crafted,172
cramp,149
crasto,511
craving,9
crazy,337
crease,677
create,1135
created,1161
creating,772
credential,93
credit,3656
crept,62
crest,18
cricbuzz,305
cricket,23108
cricketer,5036
cricketing,1710
crisis,172
criticism,1662
criticized,739
croatia,416
crop,86
crore,21199
crorefaf,12
crorehardik,13
crorerishabh,12
croreruturaj,12
croreshreyas,11
croreshubman,4
cross,965
crowd,2519
crown,1599
crowned,126
crucial,5545
cruised,183
crushing,264
cryptic,175
crystal,226
csk,4443
cuban,72
cummins,1919
cup,21066
curling,59
curran,601
currency,40
current,3656
currently,4329
cusp,71
cut,2113
cycle,642
czech,712
da,526
dabin,2
dad,526
dagar,234
daiki,1
dais,3
dal,69
damage,562
damocles,5
dampened,43
dance,404
dangal,27
dangerous,540
dani,157
daniel,965
daniil,348
danish,330
danny,107
dar,328
darker,83
darshan,230
daryl,266
dashed,231
dasun,38
date,1342
daughter,1527
daunting,327
david,1957
davis,1694
day,18822
dayal,929
dazzling,105
dc,2719
deadline,395
deadlock,262
deal,2134
dealing,483
dealt,201
death,776
debate,815
debutant,407
decade,1326
deceived,37
december,2795
decent,414
dechambeau,288
decided,2296
decider,467
decision,7451
decisive,1080
decisively,154
decorated,191
dedication,993
deep,2497
deepak,824
defeat,6771
defeated,4684
defeating,2535
defeatist,1
defence,1041
defend,1101
defended,843
defender,1226
defending,2143
defense,1457
defensive,1675
defensively,77
deficit,724
definitive,77
deflected,171
delayed,406
delhi,22177
delicate,91
delight,248
delighted,334
delightful,98
deliver,1081
delivered,1760
delivery,2607
demanded,150
demanding,538
demonstrate,190
demonstrated,820
demonstrating,372
demoted,34
denmark,1442
denny,6
deny,208
denying,155
department,801
departure,1163
depend,214
depends,298
depicts,19
depleted,53
depth,975
desai,165
described,705
deserving,108
deshpande,394
designed,220
desire,881
desired,191
desperately,120
despite,9447
destined,208
destructive,83
determination,1653
determined,1365
detour,7
dev,973
devdutt,235
deviate,45
devika,55
devising,5
dewald,76
dhami,112
dhanraj,45
dharamsala,139
dhawan,531
dhir,328
dhona,15
dhoni,3930
dhruv,942
dhull,100
diagnosed,188
diaz,226
dicey,8
die,170
diego,242
difference,1361
different,4798
differential,15
differently,257
difficult,2887
difficulty,600
dignitary,29
dilip,214
dilshan,74
diminutive,28
dimitrov,120
dinesh,399
dipendra,39
dipendu,9
directed,258
direction,555
directly,454
director,1095
disallowed,130
disappointing,1677
disappointment,1344
disaster,141
disbelief,143
disclosed,276
discovered,139
discus,500
discussed,918
discussing,336
discussion,1617
dismissal,1527
dismissed,2027
dismissing,734
dispatching,57
display,1309
displayed,1287
displaying,296
displeasure,124
disrupt,148
distance,431
distinct,134
distinction,227
dividend,67
division,1113
djokovic,3070
dmitriy,15
dogwood,35
doku,24
dollar,349
domestic,1940
dominance,1761
dominant,1280
dominate,573
dominated,1304
dominating,676
donned,126
donning,147
dont,27
double,10659
doubled,316
doubt,1058
doubter,55
downed,172
draft,889
drake,178
drama,869
dramatic,849
draw,4073
drawing,447
dream,2143
drew,2148
dribble,17
drive,1074
driver,285
dronacharya,36
drop,1023
dropped,1778
dropping,518
du,821
duality,16
duan,22
dubai,620
dube,1349
dubey,406
duc,58
duck,677
dugout,188
duly,32
dumbfounded,17
dumped,20
duo,3693
dusan,39
dushmantha,120
dustin,102
dutchman,67
dutchwoman,9
duvan,4
dwaine,29
dwayne,307
dwipuji,16
dynamic,1144
eager,1007
eagerly,889
earlier,4308
early,6441
earn,784
earned,2205
earning,853
earnings,387
ease,344
easier,387
east,1026
easy,1726
ebden,366
ec,36
echoing,96
eclipse,26
economical,96
ed,78
eden,742
edge,1709
edged,473
edition,2056
eduardo,27
edward,378
effective,458
effectively,866
efficiency,96
effort,4448
eighth,1380
eintracht,12
ekana,376
el,312
elaborated,201
election,677
electrifying,371
elevate,263
elevated,316
elevating,86
eliciting,26
eliminated,774
elimination,505
eliminator,341
elite,1236
embassy,24
embattled,7
embellished,21
embodied,48
embrace,301
embraced,213
emerge,315
emerged,2534
emerges,82
emerging,1135
emotion,833
emotional,1669
emphasized,1805
emphasizing,793
emphatic,198
emphatically,71
employed,175
en,235
enabled,84
encounter,2885
encountered,245
encouraged,222
end,9742
endeared,31
endeavor,194
ended,3839
ending,1063
endured,384
enforcer,75
engaged,756
engages,16
engaging,332
england,9071
english,999
enjoyed,850
enjoying,921
enjoys,247
ensuing,56
ensure,1152
ensures,239
ensuring,977
entered,1181
enters,182
entertaining,350
entertainment,835
enthralling,132
enthusiast,375
entire,1730
entirely,263
entrepreneur,115
entrusting,17
entry,783
epitomizes,2
equalize,156
equalized,303
er,43
era,2082
erik,140
erin,59
erling,156
eroding,26
error,1283
erupted,277
escalated,207
escalating,104
especially,3635
espncricinfo,84
essential,276
establish,339
established,904
esteemed,161
etch,82
etched,488
ethical,102
europe,625
european,1562
eve,298
evening,739
evenly,200
event,12709
eventually,1725
everybody,777
evident,850
exactly,720
example,779
exceeding,182
excelled,229
excellence,969
excellent,769
exceptional,2024
exceptionally,152
exchange,716
excitement,1472
exciting,1905
exclaimed,48
exclusive,816
exclusively,113
execute,269
executing,155
exemplified,111
exhaustive,18
exhibited,236
exhibition,234
exhilarating,144
existence,70
exit,1698
exited,253
expanding,149
expect,1191
expectation,1161
expected,3282
expensive,899
experience,4866
experienced,2578
experiencing,293
explaining,173
explains,166
explosive,1195
exposed,204
exposing,59
expressed,5396
expressing,668
extended,1398
extending,336
extensive,378
extra,1191
extraordinary,529
extremely,822
eye,2151
fa,329
fabian,63
fabulous,81
face,8572
faced,4603
facing,2100
fact,1784
factor,878
facundo,17
faf,496
faiaz,1
failed,2380
failing,497
faint,52
fair,674
fairly,163
fall,998
falling,891
faltered,439
famed,102
familiar,395
family,5721
famous,984
fan,17737
fantastic,585
fantasy,614
far,3954
farooqi,216
farooqui,125
fast,2551
fate,558
father,2497
fatigue,110
fault,596
faust,6
favor,546
favorable,162
favoring,52
favorite,912
favour,865
favourable,175
favouring,66
favourite,916
fazalhaq,179
fc,2336
feat,1472
featherweight,46
feature,1859
featured,989
febriana,16
february,1487
federation,2625
feed,101
feel,5478
feeling,2033
felix,157
fell,2277
fellow,1442
felt,2727
ferguson,460
fernandez,246
fetched,256
field,6545
fielder,415
fielding,774
fierce,769
fiercely,100
fiery,381
fifa,938
fifth,3132
fight,3759
fighter,612
fighting,1625
figure,2917
figuring,35
fih,698
fijian,8
filled,777
film,742
final,22945
finale,337
finalist,476
finally,2067
finance,246
financially,158
finch,144
finding,812
fine,1682
finest,255
finger,623
finish,3711
finished,2751
finishing,1834
firework,156
firm,387
firmly,353
fit,1423
fitness,2120
fixture,1104
flag,462
flamboyant,91
flat,291
flatter,45
flavio,85
flawless,209
fleeting,19
flick,310
flight,599
flinging,9
flooded,87
floundering,13
flourishing,43
flow,315
flowering,5
floyd,101
flurry,203
flying,359
focus,3635
focused,1452
focussed,64
follow,839
followed,3288
following,8219
follows,579
food,253
foot,1779
football,7574
footballer,645
footed,3
footstep,270
foray,55
forbes,116
force,1691
forced,1345
forcing,360
forehand,542
foreign,886
foreigner,72
form,4703
format,3082
formation,90
formidable,2311
forover,2
forth,124
fortitude,143
forward,4349
fought,1642
foul,261
foundation,813
fourth,5440
fowler,54
fox,749
frame,170
france,1749
franchise,4154
frankfurt,119
fred,73
free,1126
french,3280
frenzy,139
friday,3799
friend,2085
friendship,466
fromaiff,1
frustrate,16
frustrated,462
frustration,1226
fuel,240
fueled,304
fulfilled,104
fully,959
fun,1143
funny,241
fury,614
futile,23
future,5139
gagan,122
gaikwad,978
gained,883
gaining,283
gambhir,3583
game,44936
gameplay,129
gandhi,549
ganguly,589
gap,1143
garaga,24
garden,926
garros,988
gary,342
gassama,4
gathered,224
gathering,137
gaurav,91
gautam,1611
gave,3114
gayatri,1506
gayle,206
gear,628
gearing,439
gemke,69
genius,128
genuine,223
geopolitical,6
george,1016
gerald,255
german,906
gesture,686
getting,3838
giant,3066
gifs,1
gill,2825
ginting,130
girl,2611
girona,129
given,3427
giving,2114
glad,369
glam,20
glass,115
glenn,824
glimmer,88
glimpse,816
glitzy,7
global,1902
globally,438
glory,708
glove,268
glover,4
goal,9507
goalkeeper,2332
god,553
gogoi,89
goh,99
going,10428
gold,5004
golden,948
golf,2079
golfer,657
gomez,59
gone,1610
good,11865
googly,78
gopal,203
gopichand,1389
gordon,183
gosh,53
got,9776
governance,262
governing,596
goyal,66
goyary,2
gradually,279
grand,3998
grant,515
grass,707
great,7229
greater,645
greatest,2155
greece,129
greek,242
green,2564
greener,12
greeting,57
griezmann,28
grigor,65
grimley,12
grin,74
grinning,20
gripping,193
grit,313
groin,188
groomed,53
groove,142
ground,3284
grounder,2
group,8451
growing,1235
grown,294
gruelling,159
gt,1856
gu,161
guang,77
guangzu,16
guard,536
guardiola,414
guerreiro,9
guess,407
guided,418
gujarat,1628
gundogan,40
gunpoint,30
gupta,304
gurbaz,352
gust,51
gutta,32
guwahati,667
guy,3146
gvardiol,41
gwgwmsar,1
haaland,263
hai,2051
hailing,116
half,2972
halfway,266
hallmark,81
halted,174
han,470
hand,4360
handed,739
handle,1027
handling,328
hang,317
hangargekar,80
hanging,298
hangzhou,465
hao,140
haphazard,4
happend,1
happened,1899
happening,666
happens,920
happy,4075
haq,74
hard,4429
hardik,3185
hardly,279
harendra,416
harmanpreet,1802
harpreet,205
harry,812
harsha,45
harshal,265
harshit,830
harshitaa,92
haryana,1033
hasan,991
hasaranga,369
hashioka,1
hastening,2
hat,330
haul,917
hayward,151
hd,349
head,9159
headed,430
header,529
heading,623
health,1391
healthy,388
heard,672
heart,1435
heartbreaking,348
heartfelt,695
heat,877
heaved,21
heavily,595
heavy,733
hectic,164
hefty,228
height,817
heightened,117
heinrich,515
held,5388
helm,205
help,3555
helped,2853
hemanth,127
hernandez,96
hernia,6
hero,1177
heroic,293
hetmyer,218
hi,711
hiatus,340
high,4440
higher,825
highest,2814
highlander,96
highlight,2907
highlighted,1961
highlighting,1274
highly,1725
hilariously,77
himachal,452
himanshu,128
hinge,167
hint,302
hip,333
historic,2379
historically,139
history,6382
hit,5391
hitter,163
hitting,1588
hmar,5
hockey,5500
hojgaard,74
hold,3587
holding,1203
hole,1729
holger,126
homa,247
home,9268
honest,527
honestly,316
honor,711
honorary,91
hooda,763
hope,4988
hopefully,1027
hoping,951
hopped,13
horizon,186
horn,84
horrific,92
hosein,86
hosh,2
host,4522
hostility,35
hosting,860
hot,459
hotspur,132
hour,2331
hourigan,11
house,1111
hovland,73
howe,16
hrithik,31
huge,1920
human,438
humbert,82
humiliation,58
humorous,163
humour,88
humourous,7
hunger,273
hungry,292
hunt,444
hurdle,373
hussain,229
hyderabad,3343
hylo,190
hyped,64
hyuk,16
ians,234
iba,1295
icc,5470
icon,1127
iconic,1878
idol,124
iglesias,74
ii,118
ilkay,28
illustrious,715
imad,284
image,8427
immediate,631
immediately,1021
immense,1047
impact,3457
impactful,367
impeccable,106
importance,1638
important,3511
impress,169
impressed,699
impressing,87
impression,270
impressive,5695
improve,1611
improved,753
improvement,821
improving,326
inability,330
inaugural,860
inch,249
incident,2731
incidentally,93
inclement,63
include,1297
included,2188
includes,1625
including,8448
inclusion,803
incorporated,31
increase,633
india,59728
indian,32951
indicate,296
indicating,330
indie,3092
indira,42
individual,2508
indonesia,1769
indonesian,404
inexperienced,143
influence,945
information,558
initial,1274
initially,1667
injects,9
injured,1276
injures,15
injury,9284
inn,60
inning,8331
input,3624
inside,1991
insight,763
inspiration,533
inspired,635
instagram,2250
instance,608
instead,1363
instilled,102
instinct,228
instrumental,768
insurmountable,56
integral,207
intelligent,121
intense,2058
intensely,20
intensified,268
intensifies,35
intensify,71
intensifying,100
intensity,532
inter,725
interacting,45
interaction,751
interesting,1160
interfering,55
internal,258
international,12083
internet,383
interrupted,246
interval,272
intervened,132
interview,2381
intriguing,379
introduced,548
investment,632
invitation,143
invited,231
involved,1841
ioa,407
ioc,1335
ipl,38130
iran,169
ironically,46
irrelevant,34
isak,90
ishan,565
ishant,274
isharani,273
isilye,15
isko,38
isl,990
island,273
israel,267
israeli,70
issue,3427
issued,519
ist,4422
italian,1309
itna,19
iyer,2534
jack,924
jadeja,2486
jagadeesan,47
jahouh,52
jaipur,1328
jaiswal,2528
jaitley,435
jake,1461
jakobshalle,1
james,1183
jamieson,36
janata,35
janneke,5
jannik,1070
jansen,554
january,1925
japan,2192
japanese,821
jas,24
jason,1327
jasprit,2882
jayant,96
jaydev,164
jean,318
jeremy,168
jersey,1028
jhathavedh,51
jhye,93
jia,438
jin,222
jinx,70
jio,83
jitesh,424
jithin,58
joao,86
job,2292
jofra,326
johnson,1440
join,1808
joined,2042
joining,1349
joint,835
joked,188
jolly,960
jolt,41
jon,208
jonatan,66
jongte,1
jonny,232
joo,19
jordan,1540
jos,631
jose,258
joseph,553
josh,1749
joshua,689
journey,4003
jovial,9
joy,816
joyous,85
judge,426
judicious,20
juggernaut,79
jugraj,159
june,5101
junior,3178
juventus,240
jwala,81
júnior,37
kagiso,415
kaise,19
kalinga,196
kalyan,59
kamboj,216
kamran,228
kane,817
kang,16
kansa,2363
kanwar,32
kapil,639
kapila,313
kapur,52
karen,69
karkera,90
karn,228
karthik,815
kartik,178
kartikeya,172
kashmir,93
kashyap,750
kasimov,7
katethong,59
kazakhstan,257
kc,51
ke,527
keen,434
keenly,80
keeper,270
keeping,1207
kept,2630
kevin,1518
key,4281
khachanov,115
khaleel,599
khan,4302
khanna,35
kharab,34
kharb,321
khejroliya,86
kholmurodov,2
khona,11
kick,1271
kicked,459
kickoff,158
kickstart,54
kid,1315
kidambi,245
kieron,68
killer,109
kim,1024
kind,2556
king,4701
kingsley,9
kiran,545
kishan,642
kishanrohit,1
kishore,218
kit,194
kiwi,523
kjær,6
kkr,4410
kl,2070
klaasen,803
knew,1425
knight,3072
knock,1783
knockout,1076
know,8923
knowledge,340
known,4140
ko,497
kock,440
koepka,7
kohli,10753
kolkata,3369
kom,682
konjengbam,161
kookaburra,141
korea,917
korean,562
kotian,167
kovacic,5
kremlev,69
krishan,121
krishna,832
krishnan,48
kristin,60
kroos,50
krunal,369
kryger,6
kuldeep,1579
kulwant,84
kumar,4054
kushagra,190
kuuba,23
ky,41
kyle,365
la,2630
laced,54
lack,1396
lacked,310
lackluster,267
lacklustre,74
lad,236
ladder,757
lajong,22
lake,305
lakh,11446
lakhpat,15
lakshya,1781
lalit,164
lalthuammawia,8
landed,538
lapse,188
lara,327
large,463
largely,478
larger,181
lasted,1069
lasting,590
latched,19
late,2684
later,4739
latest,1910
laugh,371
laughter,221
launch,341
launched,621
laurel,55
law,299
layer,311
layoff,41
le,1781
lead,9326
leader,1813
leaderboard,136
leadership,2892
leading,4698
leaf,702
league,13698
learn,1038
learned,527
learning,885
learnt,704
leave,2051
leaving,2769
led,5556
lee,1459
left,6823
leg,1982
legacy,2082
legal,880
legend,4235
legendary,2294
leipzig,152
length,662
lesson,396
let,3777
level,5323
leveling,107
leveraging,83
leverkusen,239
lewandowski,181
liam,636
liang,116
lick,38
lie,591
life,5487
lifted,393
lifting,233
liga,393
light,1474
lightened,14
lightning,110
like,20332
liked,202
likely,2196
lim,85
limited,927
limiting,138
limitless,31
lin,394
line,3052
lineup,1799
lionel,608
list,3345
listen,254
listening,119
literally,323
little,3790
litton,242
liu,403
liv,1653
live,3733
lived,428
liverpool,1060
living,474
